,FILIAL,CODSUPERVISOR,Codigo,Data Início,Data Final
19492,1,114,11,2023-10-17,2023-10-19
0,1,110,13,2023-10-17,2023-10-19
8259,1,111,15,2023-10-17,2023-10-19
25952,1,117,19,2023-10-17,2023-10-19
10574,1,111,23,2023-10-17,2023-10-19
10581,1,111,46,2023-10-17,2023-10-19
10583,1,111,109,2023-10-17,2023-10-19
22811,1,114,133,2023-10-17,2023-10-19
8262,1,111,140,2023-10-17,2023-10-19
6891,1,111,154,2023-10-17,2023-10-19
1147,1,110,159,2023-10-17,2023-10-19
22823,1,114,180,2023-10-17,2023-10-19
10586,1,111,181,2023-10-17,2023-10-19
29,1,110,223,2023-10-17,2023-10-19
8265,1,111,234,2023-10-17,2023-10-19
10614,1,111,238,2023-10-17,2023-10-19
10615,1,111,258,2023-10-17,2023-10-19
27047,1,117,285,2023-10-17,2023-10-19
26474,1,117,298,2023-10-17,2023-10-19
10620,1,111,316,2023-10-17,2023-10-19
10640,1,111,353,2023-10-17,2023-10-19
8267,1,111,361,2023-10-17,2023-10-19
43,1,110,363,2023-10-17,2023-10-19
13482,1,113,400,2023-10-17,2023-10-19
10649,1,111,410,2023-10-17,2023-10-19
1154,1,110,453,2023-10-17,2023-10-19
27387,1,117,466,2023-10-17,2023-10-19
1164,1,110,482,2023-10-17,2023-10-19
17604,1,114,564,2023-10-17,2023-10-19
13489,1,113,575,2023-10-17,2023-10-19
11250,1,111,579,2023-10-17,2023-10-19
8284,1,111,625,2023-10-17,2023-10-19
13493,1,113,665,2023-10-17,2023-10-19
14912,1,113,701,2023-10-17,2023-10-19
10651,1,111,717,2023-10-17,2023-10-19
10654,1,111,816,2023-10-17,2023-10-19
1182,1,110,821,2023-10-17,2023-10-19
12940,1,113,844,2023-10-17,2023-10-19
1194,1,110,858,2023-10-17,2023-10-19
10656,1,111,873,2023-10-17,2023-10-19
6098,1,111,911,2023-10-17,2023-10-19
10667,1,111,913,2023-10-17,2023-10-19
17621,1,114,915,2023-10-17,2023-10-19
8290,1,111,1009,2023-10-17,2023-10-19
10677,1,111,1039,2023-10-17,2023-10-19
15618,1,113,1080,2023-10-17,2023-10-19
48056,1,73,1173,2023-10-17,2023-10-19
59274,1,104,1177,2023-10-17,2023-10-19
5234,1,111,1204,2023-10-17,2023-10-19
53079,1,100,1248,2023-10-17,2023-10-19
15627,1,113,1261,2023-10-17,2023-10-19
6103,1,111,1307,2023-10-17,2023-10-19
11251,1,111,1369,2023-10-17,2023-10-19
1898,1,110,1379,2023-10-17,2023-10-19
24060,1,114,1385,2023-10-17,2023-10-19
60737,1,104,1431,2023-10-17,2023-10-19
21662,1,114,1438,2023-10-17,2023-10-19
76202,1,108,1458,2023-10-17,2023-10-19
10678,1,111,1496,2023-10-17,2023-10-19
91302,2,86,1544,2023-10-17,2023-10-19
73546,1,108,1583,2023-10-17,2023-10-19
38853,1,73,1594,2023-10-17,2023-10-19
59287,1,104,1624,2023-10-17,2023-10-19
11260,1,111,1670,2023-10-17,2023-10-19
21666,1,114,1721,2023-10-17,2023-10-19
6892,1,111,1723,2023-10-17,2023-10-19
1921,1,110,1844,2023-10-17,2023-10-19
9219,1,111,1850,2023-10-17,2023-10-19
37953,1,73,1859,2023-10-17,2023-10-19
13507,1,113,1882,2023-10-17,2023-10-19
70398,1,108,1920,2023-10-17,2023-10-19
15634,1,113,1954,2023-10-17,2023-10-19
